date,confirmed,death
2020-01-22,1,1
2020-01-23,1,1
2020-01-24,2,1
2020-01-25,2,1
2020-01-26,5,1
2020-01-27,5,1
2020-01-28,5,1
2020-01-29,6,1
2020-01-30,6,1
2020-01-31,8,1
2020-02-01,8,1
2020-02-02,8,1
2020-02-03,11,1
2020-02-04,11,1
2020-02-05,11,1
2020-02-06,12,1
2020-02-07,12,1
2020-02-08,12,1
2020-02-09,12,1
2020-02-10,12,1
2020-02-11,13,1
2020-02-12,13,1
2020-02-13,14,1
2020-02-14,14,1
2020-02-15,14,1
2020-02-16,14,1
2020-02-17,15,1
2020-02-18,16,1
2020-02-19,16,1
2020-02-20,16,1
2020-02-21,16,1
2020-02-22,16,1
2020-02-23,16,1
2020-02-24,17,1
2020-02-25,18,1
2020-02-26,19,1
2020-02-27,19,1
2020-02-28,19,1
2020-02-29,26,2
2020-03-01,39,2
2020-03-02,57,7
2020-03-03,79,8
2020-03-04,113,12
2020-03-05,184,13
2020-03-06,247,15
2020-03-07,417,18
2020-03-08,538,22
2020-03-09,630,24
2020-03-10,797,29
2020-03-11,1156,34
2020-03-12,1596,45
2020-03-13,2222,52
2020-03-14,2952,61
2020-03-15,3234,72
2020-03-16,4667,97
2020-03-17,6450,133
2020-03-18,9156,198
2020-03-19,13663,273
2020-03-20,20064,378
2020-03-21,26056,482
2020-03-22,34944,603
2020-03-23,46096,790
2020-03-24,56714,1033
2020-03-25,68841,1366
2020-03-26,86662,1783
2020-03-27,105253,2305
2020-03-28,127417,3018
2020-03-29,143544,3573
2020-03-30,165698,4280
2020-03-31,192079,5359
2020-04-01,227543,6989
2020-04-02,259798,8535
2020-04-03,292201,9971
2020-04-04,323965,11590
2020-04-05,353117,13227
2020-04-06,385110,14989
2020-04-07,415256,17595
2020-04-08,446500,19747
2020-04-09,481981,22003
2020-04-10,516396,24160
2020-04-11,545313,26295
2020-04-12,571551,28203
2020-04-13,598789,30204
2020-04-14,627306,32685
2020-04-15,653345,35284
2020-04-16,682962,37479
2020-04-17,716152,39583
2020-04-18,743464,41521
2020-04-19,768888,43510
2020-04-20,799149,45768
2020-04-21,825478,48245
2020-04-22,855445,50711
2020-04-23,887523,53138
2020-04-24,919014,55201
2020-04-25,949640,56939
2020-04-26,975537,58354
2020-04-27,1000230,59840
2020-04-28,1024834,62072
2020-04-29,1051643,64446
2020-04-30,1081150,66636
2020-05-01,1115972,68516
2020-05-02,1142619,70289
2020-05-03,1166189,71492
2020-05-04,1190240,72862
2020-05-05,1214321,75041
2020-05-06,1238694,77359
2020-05-07,1266904,79262
2020-05-08,1294111,81031
2020-05-09,1318358,82502
2020-05-10,1337061,83503
2020-05-11,1356283,84529
2020-05-12,1379661,86119
2020-05-13,1399662,87814
2020-05-14,1425539,89579
2020-05-15,1449938,91205
2020-05-16,1473806,92374
2020-05-17,1492449,93190
2020-05-18,1514833,94412
2020-05-19,1535591,95840
2020-05-20,1558430,97309
2020-05-21,1583542,98491
2020-05-22,1607464,99695
2020-05-23,1627392,100773
2020-05-24,1647513,101410
2020-05-25,1666699,102010
2020-05-26,1685395,102663
2020-05-27,1704200,104115
2020-05-28,1725329,105180
2020-05-29,1750066,106289
2020-05-30,1772783,107236
2020-05-31,1791547,107857
2020-06-01,1809384,108624
2020-06-02,1829340,109603
2020-06-03,1848388,110603
2020-06-04,1876099,111601
2020-06-05,1902280,112470
2020-06-06,1922433,113108
2020-06-07,1940242,113568
